Time,Drone 1,Drone 2,Planned
3.58,2,3,1
3.58,3,2,1
3.74,9,3,0.4001585
4.88,0,1,1
4.88,1,0,1
9.58,10,16,0.5124264
9.58,16,10,0.5124264
9.86,10,16,0.6289565
9.86,16,10,0.6289565
10.04,10,16,0.7106209
10.04,16,10,0.7106209
11.84,23,6,0.5798858
11.84,6,23,0.5798858
14.06,8,11,1.012931
14.06,11,8,1.012931
17.86,21,19,0.7851765
17.86,19,21,0.7851765
17.9,21,19,0.7473575
17.9,19,21,0.7473575
18,21,19,0.655015
18,19,21,0.655015
18.04,21,19,0.6277599
18.04,19,21,0.6277599
18.22,21,19,0.5203798
18.22,19,21,0.5203798
18.24,13,7,1
18.24,7,13,1
18.24,27,10,1
18.24,10,27,1
18.5,17,26,0.8452429
18.5,26,17,0.8452429
18.5,21,19,0.5248753
18.5,19,21,0.5248753
18.64,17,26,0.8720638
18.64,26,17,0.8720638
18.64,21,19,0.604917
18.64,19,21,0.604917
18.68,21,19,0.6310691
18.68,19,21,0.6310691
18.7,17,26,0.8481398
18.7,26,17,0.8481398
19,3,17,0.822949
19,17,3,0.822949
19.16,3,17,0.8511815
19.16,17,3,0.8511815
31.18,28,27,0.9588638
31.18,27,28,0.9588638
31.3,28,27,0.9315326
31.3,27,28,0.9315326
31.44,28,27,0.9036832
31.44,27,28,0.9036832
31.68,28,27,0.8743868
31.68,27,28,0.8743868
31.78,28,27,0.8685564
31.78,27,28,0.8685564
31.82,28,27,0.8672132
31.82,27,28,0.8672132
31.94,28,27,0.8675867
31.94,27,28,0.8675867
32.12,28,27,0.8778163
32.12,27,28,0.8778163
32.32,28,27,0.9062246
32.32,27,28,0.9062246
32.44,28,27,0.9494196
32.44,27,28,0.9494196
36.42,22,11,1.057166
36.42,11,22,1.057166
36.72,22,11,0.8491857
36.72,11,22,0.8491857
36.9,22,11,0.8592224
36.9,11,22,0.8592224
37.4,16,11,0.5996068
37.4,11,16,0.5996068
37.54,16,11,0.6137181
37.54,11,16,0.6137181

