Time,Drone 1,Drone 2,Planned
39.5,9,8,1
39.5,8,9,1
45.22,12,7,0
45.22,7,12,0
45.34,12,7,0
45.34,7,12,0
45.38,12,7,0
45.38,7,12,0
45.46,12,7,0
45.46,7,12,0
45.5,12,7,0
45.5,7,12,0
45.62,12,7,0
45.62,7,12,0
45.74,12,7,0
45.74,7,12,0
45.78,12,7,0
45.78,7,12,0
45.9,12,7,0
45.9,7,12,0
45.96,12,7,0
45.96,7,12,0
46.12,12,7,0
46.12,7,12,0
46.14,6,16,0
46.14,16,6,0
46.3,12,7,0
46.3,7,12,0
46.3,6,16,0
46.3,16,6,0
46.38,6,16,0
46.38,16,6,0
46.44,6,16,0
46.44,16,6,0
46.56,6,16,0
46.56,16,6,0
48.92,24,18,0
48.92,18,24,0
49.06,24,18,0
49.06,18,24,0
49.18,24,18,0
49.18,18,24,0
49.32,24,18,0
49.32,18,24,0
49.4,24,18,0
49.4,18,24,0
49.56,24,18,0
49.56,18,24,0
49.74,24,18,0
49.74,18,24,0
49.84,24,18,0
49.84,18,24,0
50.2,6,7,1
50.2,7,6,1
54.28,29,11,1
54.28,11,29,1
54.28,10,2,0
54.28,2,10,0
54.42,29,11,1
54.42,11,29,1
54.42,10,2,0
54.42,2,10,0
54.5,29,11,1
54.5,11,29,1
54.5,10,2,0
54.5,2,10,0
54.54,29,11,1
54.54,11,29,1
54.54,10,2,0
54.54,2,10,0
54.66,29,11,1
54.66,11,29,1
55.42,29,11,1
55.42,11,29,1
55.48,29,11,1
55.48,11,29,1
55.62,29,11,1
55.62,11,29,1
55.66,29,11,1
55.66,11,29,1
55.7,29,11,1
55.7,11,29,1
55.8,29,11,1
55.8,11,29,1
55.98,29,11,1
55.98,11,29,1
58.22,17,16,0
58.22,16,17,0

