Time,CSV Path,Total Planned Collisions,Total Planned Collisions Saved,Total Planned Collisions Collided,Total Collisions,User Click Count
0,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.02,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.3533334,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.3852111,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.4027555,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.4203561,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.4379614,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.4548127,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.4719864,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.4889065,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.5064949,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.5240791,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.541631,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.5586211,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.5760578,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.593589,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.6127304,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.6302937,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.646962,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.6639114,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.6814666,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.6986433,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.7162387,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.7338166,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.7511185,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.7681555,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.785252,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.8019493,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.819548,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.8369843,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.8536514,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.8712706,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.8886897,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.9062762,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.9229904,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.9406101,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.9581227,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.9751543,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
0.9925537,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.009225,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.026064,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.043671,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.061219,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.07799,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.095604,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.11312,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.130148,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.146813,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.164225,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.181813,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.19908,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.216696,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.233434,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.250103,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.26732,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.28482,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.302215,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.319833,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.337336,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.354522,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.371837,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.392337,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
1.409936,Assets/Flightplans/flightplan30UAVs_plan1_v3.csv,0,0,0,0,0
