Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.02,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.3533334,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.3952569,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4171267,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4350965,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4484303,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4617638,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4750989,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4884329,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5022604,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5158333,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5294256,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5427582,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5657126,10.64511,12.44,-19.38,0.3222557,-0.007434889,0.002531042,0.9466201
0.5796726,10.64511,12.44,-19.38,0.3205982,-0.009092428,0.003077617,0.9471667
0.5930064,10.64511,12.44,-19.38,0.3205982,-0.009092428,0.003077617,0.9471667
0.6066428,10.64511,12.44,-19.38,0.3205982,-0.009092428,0.003077617,0.9471667
0.6207865,10.64511,12.44,-19.38,0.315622,-0.0124204,0.004131719,0.9487947
0.6341208,10.64511,12.44,-19.38,0.3106243,-0.01741813,0.005693124,0.9503561
0.647454,10.64511,12.44,-19.38,0.3089651,-0.01742804,0.005662715,0.9508969
0.6607875,10.64511,12.44,-19.38,0.3006223,-0.02246935,0.007084557,0.9534523
0.6741238,10.64511,12.44,-19.38,0.2922781,-0.02419888,0.007398341,0.9559986
0.6874571,10.64511,12.44,-19.38,0.2889393,-0.02422456,0.007313826,0.957013
0.7016045,10.64511,12.44,-19.38,0.2771997,-0.02766463,0.007984984,0.9603808
0.7149432,10.64511,12.44,-19.38,0.2620669,-0.02947017,0.008006867,0.9645665
0.7282771,10.64511,12.44,-19.38,0.2553266,-0.02952535,0.007800933,0.9663725
0.7416106,10.64511,12.44,-19.38,0.2400889,-0.03303091,0.008174323,0.9701543
0.754943,10.64511,12.44,-19.38,0.2248071,-0.0348548,0.008046864,0.9737465
0.7682768,10.64511,12.44,-19.38,0.2179751,-0.03831432,0.008564264,0.9751644
0.7816103,10.64511,12.44,-19.38,0.2111619,-0.03837317,0.008296574,0.9766623
0.7950295,10.64511,12.44,-19.38,0.2060452,-0.03841609,0.008095539,0.9777547
0.8083612,10.64511,12.44,-19.38,0.2009229,-0.03845795,0.007894282,0.9788201
0.8216935,10.64511,12.44,-19.38,0.1958082,-0.03678852,0.007351071,0.9799243
0.8352761,10.64511,12.44,-19.38,0.1958082,-0.03678852,0.007351071,0.9799243
0.8487592,10.64511,12.44,-19.38,0.1906869,-0.0351144,0.006825547,0.980999
0.8622484,10.64511,12.44,-19.38,0.1889859,-0.03341346,0.006434417,0.9813901
0.8755844,10.64511,12.44,-19.38,0.1889859,-0.03341346,0.006434417,0.9813901
0.8891277,10.64511,12.44,-19.38,0.1872728,-0.03342464,0.00637609,0.9817184
0.9025477,10.64511,12.44,-19.38,0.1872728,-0.03342464,0.00637609,0.9817184
0.9158803,10.64511,12.44,-19.38,0.1872728,-0.03342464,0.00637609,0.9817184
