Time,CSV Path,Total Planned Collisions,Total Planned Collisions Saved,Total Planned Collisions Collided,Total Collisions,User Click Count
0,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.02,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.3533334,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.3952569,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4171267,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4350965,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4484303,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4617638,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4750989,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4884329,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5022604,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5158333,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5294256,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5427582,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5657126,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5796726,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5930064,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.6066428,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.6207865,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.6341208,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.647454,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.6607875,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.6741238,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.6874571,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
