Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.02,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.3533334,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.3675856,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.3815267,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.3948591,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.4081931,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.4215603,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.4348947,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.4482273,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.4622665,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.475798,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.4893592,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.5027362,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.5160738,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.5294099,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.5427411,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.5562862,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.5696197,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.5833033,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.596637,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.6101871,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.6235188,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.636869,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.6502022,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.664098,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.6776149,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.6909499,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.7042834,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.7176167,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.7309505,10.5,25.1,1.1,0.7071068,0,0,0.7071068
0.7442843,10.5,25.1,1.1,0.7071068,0,0,0.7071068
