Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64,7.63,-19.63,0,0,0,1
0.02,10.64,7.63,-19.63,0,0,0,1
0.3533334,10.20966,7.605489,-19.20092,0.03239709,0.03527687,-0.004224895,0.9988434
0.3746772,10.2096,7.605513,-19.20094,0.03245943,0.0351331,-0.004225462,0.9988464
0.3820789,10.20958,7.605523,-19.20095,0.03248896,0.03507698,-0.004200756,0.9988475
0.3986606,10.2095,7.605565,-19.20098,0.03258035,0.03487576,-0.004078557,0.9988521
0.4092392,10.20946,7.605587,-19.201,0.03264684,0.03482473,-0.003972551,0.9988523
0.4205724,10.20941,7.605617,-19.20103,0.03271931,0.0347153,-0.003955466,0.9988537
0.4308228,10.20937,7.605624,-19.20105,0.03265832,0.0346885,-0.003863279,0.998857
0.4421555,10.20932,7.605679,-19.2011,0.03273258,0.03449463,-0.003910592,0.9988611
0.4528925,10.20929,7.60568,-19.20112,0.03268575,0.03452808,-0.003850177,0.9988617
0.4643802,10.20925,7.605705,-19.20116,0.03268555,0.03444152,-0.003847714,0.9988647
0.4748504,10.20922,7.605722,-19.20119,0.03268139,0.03439665,-0.003847856,0.9988664
0.4868715,10.20917,7.605757,-19.20124,0.03273845,0.03432983,-0.003920213,0.9988665
0.4974816,10.20914,7.605763,-19.20128,0.03258611,0.03425402,-0.003839157,0.9988744
0.5088481,10.20911,7.605779,-19.20131,0.03259993,0.03428447,-0.00376834,0.9988732
0.5203609,10.20908,7.6058,-19.20135,0.03267988,0.03428195,-0.003810225,0.9988705
0.5313092,10.20904,7.605821,-19.20141,0.03267476,0.03424851,-0.003763495,0.998872
0.5412099,10.20901,7.605837,-19.20145,0.03268404,0.03424824,-0.003744675,0.9988718
0.5540149,10.20896,7.605859,-19.20152,0.03264266,0.03428696,-0.003734171,0.9988719
0.5646389,10.20892,7.605887,-19.2016,0.03266239,0.03428859,-0.003689567,0.9988714
0.5759214,10.20887,7.605912,-19.20166,0.03260692,0.03436804,-0.003716195,0.9988703
0.5868328,10.20882,7.605945,-19.20175,0.03265152,0.03435002,-0.003742595,0.9988694
0.5980628,10.20876,7.605947,-19.20181,0.03248593,0.03448103,-0.003748488,0.9988702
0.6091834,10.20871,7.605966,-19.20189,0.03245759,0.03445701,-0.003681951,0.9988722
0.6209471,10.20865,7.605985,-19.20198,0.03237271,0.03448184,-0.00366209,0.9988742
0.6311685,10.20859,7.605993,-19.20206,0.03220204,0.03451259,-0.003615038,0.9988788
0.6424372,10.20852,7.606014,-19.20215,0.03206813,0.03446894,-0.003706414,0.9988843
0.6534113,10.20847,7.606023,-19.20221,0.03198264,0.03452348,-0.00363078,0.9988855
0.6645818,10.20838,7.60603,-19.20231,0.03170139,0.03449503,-0.003615553,0.9988954
0.6756999,10.20835,7.606048,-19.20235,0.03172277,0.03443211,-0.003636137,0.9988969
0.6866671,10.20825,7.606058,-19.20245,0.03148592,0.03440671,-0.003533294,0.9989057
0.6977267,10.20821,7.606066,-19.20252,0.03141383,0.03426266,-0.003487194,0.998913
0.7091969,10.20815,7.60608,-19.20259,0.03135559,0.03425011,-0.003439285,0.9989154
0.7198582,10.20809,7.60609,-19.20267,0.031302,0.03408771,-0.003276021,0.9989232
0.7308701,10.20804,7.606109,-19.20272,0.03132045,0.03412108,-0.003291213,0.9989214
0.7427055,10.20798,7.606117,-19.20283,0.03121137,0.03385876,-0.00323647,0.9989339
0.7536542,10.20794,7.606129,-19.20285,0.03121167,0.03402693,-0.003252955,0.9989281
0.7647433,10.20789,7.606138,-19.20291,0.03112687,0.03399797,-0.003238418,0.9989318
0.7760999,10.20785,7.606153,-19.20296,0.03106919,0.03396317,-0.003286597,0.9989346
0.786916,10.20781,7.606174,-19.20301,0.03106401,0.03393928,-0.003307793,0.9989355
0.7978666,10.20777,7.606195,-19.20307,0.03108127,0.03388777,-0.003252532,0.998937
0.8089193,10.20774,7.606205,-19.20312,0.03101746,0.03384649,-0.003277795,0.9989402
0.8204398,10.2077,7.606217,-19.20318,0.03098617,0.03380056,-0.003213344,0.998943
0.8311868,10.20767,7.606232,-19.2032,0.03098297,0.03383896,-0.003291809,0.9989415
0.8424242,10.20764,7.60625,-19.20323,0.03099037,0.03387957,-0.003281043,0.9989399
0.8538774,10.20761,7.606274,-19.20327,0.03090604,0.03389946,-0.003315336,0.9989418
0.8643559,10.20758,7.606297,-19.20331,0.03069868,0.0339973,-0.003267213,0.998945
0.875668,10.20757,7.606333,-19.20333,0.03072795,0.03401289,-0.003335695,0.9989433
0.8870084,10.20755,7.606367,-19.20335,0.03051589,0.03404451,-0.003398946,0.9989486
0.897994,10.20753,7.606396,-19.20336,0.03049599,0.03413962,-0.00336199,0.998946
0.9089708,10.20752,7.606426,-19.20337,0.03042841,0.03417019,-0.003332598,0.9989471
0.920224,10.20751,7.606454,-19.20339,0.03024066,0.03417884,-0.003322783,0.9989526
0.9319729,10.20749,7.606487,-19.20339,0.03012922,0.03426448,-0.003319661,0.998953
0.9424011,10.20747,7.606515,-19.2034,0.03005361,0.03422893,-0.003298194,0.9989566
0.9534585,10.20746,7.606544,-19.2034,0.02988477,0.03423205,-0.003291741,0.9989616
0.9645678,10.20745,7.606571,-19.2034,0.02964494,0.03426576,-0.003334791,0.9989675
0.9759672,10.20744,7.60659,-19.20339,0.02949252,0.03426004,-0.003304212,0.9989722
0.9866427,10.20743,7.606609,-19.20339,0.02939776,0.03422958,-0.003374145,0.9989759
0.9981362,10.20743,7.60662,-19.20339,0.02924116,0.03424151,-0.003427973,0.9989799
1.009664,10.20743,7.606633,-19.20338,0.02908784,0.03419434,-0.003506646,0.9989857
1.020787,10.20742,7.606633,-19.20338,0.02898508,0.03419691,-0.003497696,0.9989886
1.032069,10.20743,7.606629,-19.20337,0.02882553,0.0341904,-0.003509571,0.9989934
1.043748,10.20742,7.606627,-19.20336,0.02874644,0.03424694,-0.003582317,0.9989935
1.053745,10.20742,7.606621,-19.20335,0.0287344,0.03424305,-0.003639701,0.9989938
1.065531,10.20743,7.6066,-19.20334,0.02862491,0.03430628,-0.003694588,0.9989945
1.075701,10.20745,7.606586,-19.20333,0.02855599,0.03430206,-0.003706357,0.9989966
1.08778,10.20747,7.606573,-19.20332,0.02851468,0.03438474,-0.003831836,0.9989945
1.098278,10.2075,7.606546,-19.20331,0.02841794,0.03446117,-0.003945441,0.9989942
1.110591,10.20753,7.606505,-19.2033,0.02834676,0.03455162,-0.00408045,0.9989925
1.121488,10.20754,7.606484,-19.2033,0.02835089,0.03451092,-0.004064357,0.9989939
1.133943,10.20756,7.606421,-19.20328,0.02826559,0.03463697,-0.004146971,0.9989916
1.145073,10.20761,7.60632,-19.20325,0.02805231,0.03461597,-0.004214692,0.998998
1.155507,10.20761,7.606312,-19.20324,0.02817692,0.03473224,-0.004194756,0.9989906
1.167134,10.20765,7.606258,-19.20321,0.02826104,0.03484245,-0.0043203,0.9989838
1.178639,10.20767,7.60622,-19.20318,0.02815993,0.03481222,-0.004321463,0.9989877
1.189557,10.2077,7.606194,-19.20316,0.02827223,0.03484309,-0.004432788,0.998983
1.200839,10.20771,7.60616,-19.20313,0.02827446,0.03484863,-0.004442243,0.9989827
1.211355,10.20772,7.606128,-19.2031,0.02828077,0.03488896,-0.004432871,0.9989812
1.222858,10.20774,7.606093,-19.20307,0.02832565,0.03477658,-0.004409741,0.998984
1.233504,10.20775,7.606073,-19.20304,0.02843118,0.03473259,-0.004390865,0.9989825
1.245242,10.20775,7.606055,-19.20301,0.02841162,0.03470805,-0.004361719,0.998984
