Time,Drone 1,Drone 2,Planned
31.72,22,2,0
31.72,2,22,0
31.86,22,2,0
31.86,2,22,0
59.36,2,5,0
59.36,5,2,0
59.48,2,5,0
59.48,5,2,0
59.48,0,15,0
59.48,15,0,0
59.72,0,15,0
59.72,15,0,0
59.9,0,15,0
59.9,15,0,0
60.1,0,15,0
60.1,15,0,0
60.3,0,15,0
60.3,15,0,0
60.5,0,15,0
60.5,15,0,0
82.08,23,25,0
82.08,25,23,0
82.3,23,25,0
82.3,25,23,0
82.42,23,25,0
82.42,25,23,0
82.52,23,25,0
82.52,25,23,0
82.7,17,1,0
82.7,1,17,0
104.92,17,3,1
104.92,3,17,1
108.28,15,21,1
108.28,21,15,1
120.44,18,9,1
120.44,9,18,1
126.7,3,20,0
126.7,20,3,0
126.9,3,20,0
126.9,20,3,0
127.08,3,20,0
127.08,20,3,0
127.3,28,29,0
127.3,29,28,0
127.3,3,20,0
127.3,20,3,0
127.5,3,20,0
127.5,20,3,0
135.14,2,1,0
135.14,1,2,0

