Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.02,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.3533334,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.3774512,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.3907866,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.404552,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4178852,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4313551,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4451129,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.459159,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4724925,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.4864264,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5000634,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5133961,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5267292,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5407814,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5576475,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5760545,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.5945182,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.6130905,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.6264253,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.6397588,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.6530926,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.6665552,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.6808935,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.6943721,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.7084379,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.7217726,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.7353421,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.7486758,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.7620094,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.7753429,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.7886769,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.8020104,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.8153433,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.829071,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.8424047,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.8557385,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.8690729,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.8825963,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.8959305,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.9092643,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.9225973,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.9359314,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.9492649,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.9625986,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.9764087,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
0.9897425,10.64511,12.44,-19.38,0.3235248,0,0,0.9462197
