Time,Drone 1,Drone 2,Planned
4.02,7,12,1
4.02,12,7,1
4.32,10,11,1
4.32,11,10,1
9.34,28,0,1
9.34,0,28,1
24.14,28,5,1
24.14,5,28,1
31.16,5,24,1
31.16,24,5,1
40.9,1,18,1
40.9,18,1,1
49.16,15,6,1
49.16,6,15,1
66.64,24,22,1
66.64,22,24,1
72.54,24,5,1
72.54,5,24,1
86.68,1,3,1
86.68,3,1,1
93.66,23,19,1
93.66,19,23,1
104.92,17,3,1
104.92,3,17,1
108.28,21,15,1
108.28,15,21,1
120.46,18,9,1
120.46,9,18,1
138.54,8,13,1
138.54,13,8,1
141.26,7,4,1
141.26,4,7,1
151.12,13,7,1
151.12,7,13,1
165.54,17,18,1
165.54,18,17,1
181.06,27,2,1.010992
181.06,2,27,1.010992
185.86,3,7,0.966351
185.86,7,3,0.966351

