Time,Drone 1,Drone 2,Planned
7.52,14,15,1
7.52,15,14,1
8.58,0,14,1.028513
8.8,8,13,0.8177747
8.8,13,8,0.8177747
8.98,8,13,0.6338267
8.98,13,8,0.6338267
9.2,8,13,0.5273119
9.2,13,8,0.5273119
9.38,8,13,0.5882335
9.38,13,8,0.5882335
9.58,8,13,0.7726858
9.58,13,8,0.7726858
11.08,1,10,1
11.08,10,1,1
13.34,9,1,1
13.34,1,9,1
31.76,6,13,1
31.76,13,6,1
32.38,10,6,0.7112828
44.12,7,17,1
44.12,17,7,1
55.76,11,1,1
55.76,1,11,1
72,8,4,1
72,4,8,1
80.42,13,4,1
80.42,4,13,1
91.88,0,11,0.8868784
91.88,11,0,0.8868784
92.16,0,11,0.8920336
92.16,11,0,0.8920336
92.32,0,11,0.933248
92.32,11,0,0.933248
92.36,0,11,0.9487831
92.36,11,0,0.9487831
98.2,18,19,1
98.2,19,18,1
104.62,18,3,1
104.62,3,18,1
111.4,5,6,1
111.4,6,5,1
122.34,7,13,0.8075145
122.34,13,7,0.8075145
127.22,12,0,1
127.22,0,12,1
129.56,19,18,0.3615987
129.56,18,19,0.3615987
129.74,19,18,0.197033
129.74,18,19,0.197033
129.94,19,18,0.7118493
129.94,18,19,0.7118493
135.7,6,5,0.9481334
135.7,5,6,0.9481334
135.92,6,5,0.9475424
135.92,5,6,0.9475424
136,6,5,0.9653882
136,5,6,0.9653882
143.86,17,11,1
143.86,11,17,1
154.08,16,3,1
154.08,3,16,1
175.78,18,8,0.8061983
175.78,8,18,0.8061983

