Time,Drone 1,Drone 2,Planned
7.32,9,12,1
7.32,12,9,1
7.36,19,22,1
7.36,22,19,1
10.88,6,10,1
10.88,10,6,1
29.34,11,1,1
29.34,1,11,1
32.14,22,28,1
32.14,28,22,1
50.96,10,7,1
50.96,7,10,1
61.7,9,10,1
61.7,10,9,1
73.76,4,9,1
73.76,9,4,1
86.1,4,26,1
86.1,26,4,1
90.52,26,3,1
90.52,3,26,1
101.4,24,8,1
101.4,8,24,1
113.7,23,4,1
113.7,4,23,1
129.5,10,17,1
129.5,17,10,1
142.76,27,25,1
142.76,25,27,1
161.96,11,9,1
161.96,9,11,1
181.56,10,6,1.069906
181.56,6,10,1.069906
181.9,17,7,1.014778
181.9,7,17,1.014778

