Time,Click No
7.433275,1
14.1965,2
16.27751,3
17.96708,4
22.70688,5
24.86316,6
28.08318,7
32.43674,8
36.04197,9
38.16001,10
41.67317,11
44.367,12
51.6697,13
57.63665,14
60.43081,15
64.42173,16
69.72237,17
72.08246,18
74.10394,19
77.6156,20
80.63644,21
84.27592,22
88.86181,23
94.35014,24
96.41338,25
99.08229,26
105.6585,27
108.7602,28
112.5524,29
114.7073,30
118.7335,31
123.2206,32
127.6935,33
129.5673,34
133.2087,35
138.1852,36
143.1682,37
146.5804,38
148.7196,39
150.4915,40
152.6741,41
154.444,42
158.4695,43
162.4745,44
165.5954,45
171.6932,46

