Time,CSV Path,Total Planned Collisions,Total Planned Collisions Saved,Total Planned Collisions Collided,Total Collisions,User Click Count
0,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.02,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.3533334,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.3738562,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.3871982,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4005315,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4138651,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4277163,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4410498,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.454847,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4681807,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4815136,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.4949491,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5088198,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5222141,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5355474,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5495148,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.562848,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.5764058,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.589763,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.6032726,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.616612,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.6299455,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
0.643279,Assets/Flightplans/flightplan10UAVs_plan1_v3.csv,0,0,0,0,0
