Time,Click No
3.30703,1
8.898316,2
12.00837,3
16.96621,4
20.7266,5
24.47231,6
29.54222,7
32.93134,8
44.00307,9
55.14153,10
59.79129,11
63.53032,12
67.72364,13
71.36652,14
78.55738,15
83.0266,16
86.76979,17
93.07849,18
97.34751,19
100.4903,20
103.0059,21
110.2939,22
114.8066,23
119.1933,24
121.584,25
124.0518,26
126.8687,27
130.5114,28
133.0982,29
136.4553,30
140.9973,31
142.8052,32
145.6453,33
145.8469,34
146.0058,35
146.1658,36
146.3382,37
146.5232,38
146.6824,39
146.8542,40
147.0414,41
147.2148,42
147.4148,43
147.6009,44
147.7994,45
147.9993,46
148.2112,47
148.3855,48
148.6008,49
148.774,50
148.9869,51
149.1756,52
149.388,53
149.6026,54
149.7892,55
149.9873,56
150.2043,57
150.4057,58
150.6075,59
150.808,60
151.022,61
151.2384,62
151.4385,63
151.6662,64
151.8804,65
152.0844,66
152.2864,67
152.5133,68
152.7263,69
152.9303,70
153.1412,71
153.3559,72
153.5736,73
153.8009,74
154.0159,75
154.2439,76
154.4571,77
154.6566,78
154.8706,79
155.0847,80
155.5009,81
155.7149,82
155.9135,83
156.1391,84
156.3652,85
156.5936,86
156.8072,87
157.0463,88
157.4753,89
157.6869,90
157.9007,91
158.1281,92
158.3542,93
158.5918,94
158.8032,95
159.0313,96
159.2582,97
159.4841,98
159.696,99
159.8995,100
160.1276,101
160.3597,102
160.5654,103
160.7994,104
161.2216,105
161.4193,106
161.6455,107
161.8743,108
162.0872,109
162.3132,110
162.5141,111
162.7013,112
162.9237,113
163.1374,114
163.3766,115
163.6051,116
163.8305,117
164.0844,118
164.3373,119
164.5637,120
165.4015,121
167.4294,122
168.2795,123
169.2597,124
170.3131,125
171.3342,126
172.22,127
177.808,128
180.2839,129

