Time,CSV Path,Total Planned Collisions,Total Planned Collisions Saved,Total Planned Collisions Collided,Total Collisions,User Click Count
0,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.02,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.0569221,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.0680996,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.105246,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.1500898,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.1754559,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.2009412,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.2254835,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.2473573,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.2693931,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.2905482,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.3133475,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.3349036,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.3572023,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.3800265,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.4014209,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.4239998,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.4488639,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.4690594,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.4914178,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.5132091,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.5352182,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.5374481,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.7152183,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.7301213,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.8579778,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
0.9630364,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.00692,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.02727,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.043262,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.065776,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.07439,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.081949,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.09207,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.103741,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.115206,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.124158,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.13446,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.145121,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.155276,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.166012,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.176278,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.187098,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.197884,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.208215,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.219514,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.230832,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.241054,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.251189,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.26318,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.273998,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.284125,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.295297,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.306303,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.317817,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.328747,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.339599,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.350707,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.361533,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.37304,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.384435,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.394982,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.405791,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.417283,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.428136,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.439633,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.450709,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.461772,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.473259,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.484415,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.495102,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.506387,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.517206,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.52849,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.539608,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.55063,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.561902,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.572986,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.584844,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.594777,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.606516,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.617352,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.628507,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.640412,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.651449,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.662425,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.672963,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.684384,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.695323,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.706596,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.718624,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.729323,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.740026,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.750736,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.762605,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.77337,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.784888,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.795341,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.806451,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.818036,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.829095,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.840824,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.851565,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.862262,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.873546,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.884473,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.896487,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.90667,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.918661,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.929393,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.94056,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.951347,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.962744,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.973946,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.984373,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
1.996367,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.007187,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.019472,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.030229,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.040582,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.052359,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.063337,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.074342,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.08575,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.096264,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.10789,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.118989,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.130597,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.141551,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.152319,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.16375,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.174736,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.185793,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.196659,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.207722,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.21926,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.230176,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.241204,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.252761,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.26433,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.275035,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.285472,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.296556,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.308109,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
2.319194,Assets/Flightplans/flightplan10UAVs_plan3_v3.csv,0,0,0,0,0
