Time,Drone 1,Drone 2,Planned
4.02,7,12,1
4.02,12,7,1
4.32,10,11,1
4.32,11,10,1
9.36,0,28,1
9.36,28,0,1
19.02,21,9,0.7016059
19.02,9,21,0.7016059
24.14,5,28,1
24.14,28,5,1
25.22,6,5,0.9420499
31.16,5,24,1
31.16,24,5,1
31.3,2,22,0.6674039
31.3,22,2,0.6674039
39.1,19,27,0.3499067
39.1,27,19,0.3499067
40.92,18,1,1
40.92,1,18,1
43.62,19,8,1.181796
43.62,8,19,1.181796
43.72,19,8,1.132351
43.72,8,19,1.132351
43.78,19,8,1.109919
43.78,8,19,1.109919
44.42,19,8,1.1453
44.42,8,19,1.1453
49.16,6,15,1
49.16,15,6,1
59.54,0,15,0.8491509
59.54,15,0,0.8491509
59.72,0,15,0.7865232
59.72,15,0,0.7865232
60.18,0,15,0.7835839
60.18,15,0,0.7835839
60.28,0,15,0.8142004
60.28,15,0,0.8142004
66.64,22,24,1
66.64,24,22,1
72.52,5,24,1
72.52,24,5,1
73.93999,7,22,0.7804117
73.93999,22,7,0.7804117
74,7,22,0.802178
74,22,7,0.802178
74.26,7,22,0.8993971
74.26,22,7,0.8993971
74.36,7,22,0.9385981
74.36,22,7,0.9385981
74.43999,7,22,0.9698695
74.43999,22,7,0.9698695
74.52,7,22,0.9989707
74.52,22,7,0.9989707
78.38,20,25,1.068386
78.38,25,20,1.068386
78.68,20,25,1.063475
78.68,25,20,1.063475
78.92,20,25,1.118637
78.92,25,20,1.118637
82.16,25,23,1.165584
82.16,23,25,1.165584
82.24,25,23,1.157597
82.24,23,25,1.157597
82.42,25,23,1.160647
82.42,23,25,1.160647
82.52,25,23,1.175513
82.52,23,25,1.175513
82.74,17,1,0.5855703
82.74,1,17,0.5855703
85.93999,3,1,1
85.93999,1,3,1
89.4,10,28,0.6897748
89.4,28,10,0.6897748
93.66,19,23,1
93.66,23,19,1
97.54,8,25,0.6776202
97.54,25,8,0.6776202
97.7,8,25,0.5150914
97.7,25,8,0.5150914
97.92,8,25,0.4252538
97.92,25,8,0.4252538
98.18,8,25,0.5993672
98.18,25,8,0.5993672
101.42,10,9,0.6781207
101.42,9,10,0.6781207
104.92,3,17,1
104.92,17,3,1
108.3,21,15,1
108.3,15,21,1
116.92,1,2,0.8262741
116.92,2,1,0.8262741
117.18,1,2,0.3259366
117.18,2,1,0.3259366
117.54,1,2,0.7203558
117.54,2,1,0.7203558
120.46,18,9,1
120.46,9,18,1
125.4,0,27,0.7713585
125.4,27,0,0.7713585
125.74,19,13,0.7820232
125.74,13,19,0.7820232
125.74,0,27,0.7091545
125.74,27,0,0.7091545
126.72,3,20,0.5579239
126.72,20,3,0.5579239
126.88,3,20,0.5679713
126.88,20,3,0.5679713
127.28,28,29,0.7703407
127.28,29,28,0.7703407
127.28,3,20,0.6742272
127.28,20,3,0.6742272
138.54,8,13,1
138.54,13,8,1
141.28,4,7,1
141.28,7,4,1
151.12,13,7,1
151.12,7,13,1
158.42,22,27,0.7237839
158.42,27,22,0.7237839
165.54,17,18,1
165.54,18,17,1
173.16,14,21,0.9931228
173.16,21,14,0.9931228
181.06,27,2,1.009248
181.06,2,27,1.009248
185.86,7,3,0.9741619
185.86,3,7,0.9741619

