eventID,droneID,startTime,startingPositionX,startingPositionY,startingPositionZ,endingPositionX,endingPositionY,endingPositionZ,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,0.0,4.0,0.0,-5.0,16.0,6.0,10.0,1,[9.90963382 2.95481691 2.38704228],4.955378604043211,1
1,1,0.3333333333333333,16.0,0.0,-5.0,2.0,6.0,10.0,0,[9.94611557 2.5945219  1.48630475],4.955378604043211,0
2,2,0.6666666666666666,4.0,0.0,-9.0,6.0,4.0,10.0,3,[ 4.70939886  1.41879772 -2.26071084],4.128394997214698,3
3,3,1.0,0.0,0.0,-7.0,18.0,6.0,10.0,2,[ 4.42080883  1.47360294 -2.82479166],4.128394997214698,2
4,4,1.3333333333333333,6.0,0.0,-7.0,16.0,6.0,10.0,-2,-2,-2,-2
5,5,1.6666666666666667,0.0,0.0,-9.0,18.0,4.0,10.0,-2,-2,-2,-2
6,6,2.0,14.0,0.0,-5.0,16.0,2.0,10.0,-2,-2,-2,-2
7,7,2.3333333333333335,14.0,0.0,-9.0,14.0,0.0,10.0,-2,-2,-2,-2
8,8,2.6666666666666665,18.0,0.0,-7.0,18.0,4.0,10.0,-2,-2,-2,-2
9,9,3.0,4.0,0.0,-5.0,4.0,2.0,10.0,-2,-2,-2,-2
10,10,3.3333333333333335,2.0,0.0,-9.0,18.0,6.0,10.0,-2,-2,-2,-2
11,11,3.6666666666666665,2.0,0.0,-5.0,12.0,2.0,10.0,-2,-2,-2,-2
12,12,4.0,18.0,0.0,-7.0,16.0,4.0,10.0,-2,-2,-2,-2
13,13,4.333333333333333,6.0,0.0,-5.0,12.0,6.0,10.0,-2,-2,-2,-2
14,14,4.666666666666667,18.0,0.0,-9.0,10.0,0.0,10.0,-2,-2,-2,-2
15,15,5.0,2.0,0.0,-5.0,12.0,4.0,10.0,-2,-2,-2,-2
16,16,5.333333333333333,6.0,0.0,-7.0,14.0,4.0,10.0,-2,-2,-2,-2
17,17,5.666666666666667,18.0,0.0,-9.0,18.0,0.0,10.0,-2,-2,-2,-2
18,18,6.0,4.0,0.0,-7.0,6.0,0.0,10.0,-2,-2,-2,-2
19,19,6.333333333333333,18.0,0.0,-9.0,6.0,4.0,10.0,-2,-2,-2,-2
20,20,6.666666666666667,10.0,0.0,-9.0,14.0,0.0,10.0,-2,-2,-2,-2
21,21,7.0,2.0,0.0,-7.0,0.0,2.0,10.0,-2,-2,-2,-2
22,22,7.333333333333333,6.0,0.0,-7.0,14.0,6.0,10.0,-2,-2,-2,-2
23,23,7.666666666666667,12.0,0.0,-9.0,2.0,4.0,10.0,-2,-2,-2,-2
24,24,8.0,10.0,0.0,-5.0,10.0,2.0,10.0,-2,-2,-2,-2
25,25,8.333333333333334,2.0,0.0,-9.0,8.0,0.0,10.0,-2,-2,-2,-2
26,26,8.666666666666666,0.0,0.0,-5.0,4.0,2.0,10.0,-2,-2,-2,-2
27,27,9.0,16.0,0.0,-7.0,10.0,4.0,10.0,-2,-2,-2,-2
28,28,9.333333333333334,18.0,0.0,-7.0,14.0,2.0,10.0,-2,-2,-2,-2
29,6,9.632168761236873,6.0,0.0,-5.0,16.0,0.0,10.0,-2,-2,-2,-2
30,29,9.666666666666666,6.0,0.0,-9.0,16.0,6.0,10.0,-2,-2,-2,-2
31,0,10.062305898749054,2.0,0.0,-7.0,12.0,4.0,10.0,-2,-2,-2,-2
32,2,10.426277314638234,18.0,0.0,-7.0,8.0,2.0,10.0,-2,-2,-2,-2
33,9,10.56637297521078,8.0,0.0,-9.0,18.0,0.0,10.0,-2,-2,-2,-2
34,1,11.022112496549308,14.0,0.0,-5.0,16.0,2.0,10.0,-2,-2,-2,-2
35,8,11.398791264953156,2.0,0.0,-9.0,0.0,2.0,10.0,-2,-2,-2,-2
36,4,11.641097397377486,16.0,0.0,-7.0,14.0,0.0,10.0,-2,-2,-2,-2
37,7,11.833333333333334,16.0,0.0,-9.0,0.0,0.0,10.0,13,[7.2493983  0.         1.39133951],18.625846986550822,40
38,11,12.735845240275193,0.0,0.0,-7.0,10.0,0.0,10.0,-2,-2,-2,-2
39,12,12.789197915623474,16.0,0.0,-9.0,8.0,4.0,10.0,-2,-2,-2,-2
40,13,12.950177303140375,2.0,0.0,-9.0,12.0,0.0,10.0,7,[7.28684582 0.         1.04500705],18.625846986550822,37
41,3,13.737739202856996,4.0,0.0,-7.0,18.0,6.0,10.0,-2,-2,-2,-2
42,15,14.233092656309694,12.0,0.0,-9.0,18.0,4.0,10.0,-2,-2,-2,-2
43,18,14.558621384311845,18.0,0.0,-7.0,16.0,0.0,10.0,-2,-2,-2,-2
44,5,14.904868961540393,16.0,0.0,-9.0,2.0,4.0,10.0,-2,-2,-2,-2
45,16,14.938019689482605,18.0,0.0,-9.0,0.0,0.0,10.0,-2,-2,-2,-2
46,14,14.974430730710818,0.0,0.0,-5.0,18.0,2.0,10.0,-2,-2,-2,-2
47,17,15.166666666666668,16.0,0.0,-5.0,0.0,6.0,10.0,-2,-2,-2,-2
48,24,15.56637297521078,2.0,0.0,-7.0,0.0,2.0,10.0,-2,-2,-2,-2
49,21,15.616843969807043,18.0,0.0,-9.0,14.0,4.0,10.0,-2,-2,-2,-2
50,10,16.11026567251397,0.0,0.0,-9.0,0.0,4.0,10.0,27,[ 0.          0.87464922 -4.84541622],18.233092656309694,56
51,20,16.374910586140466,4.0,0.0,-5.0,2.0,4.0,10.0,-2,-2,-2,-2
52,26,16.49290458791593,10.0,0.0,-5.0,16.0,4.0,10.0,-2,-2,-2,-2
