eventID,droneID,startTime,startingPositionX,startingPositionY,startingPositionZ,endingPositionX,endingPositionY,endingPositionZ,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,0.0,10.0,0.0,-2.0,6.0,6.0,10.0,-2,-2,-2,-2
1,1,1.0,18.0,0.0,-2.0,8.0,6.0,10.0,-2,-2,-2,-2
2,2,2.0,0.0,0.0,0.0,2.0,6.0,10.0,-2,-2,-2,-2
3,3,3.0,6.0,0.0,0.0,16.0,6.0,10.0,-2,-2,-2,-2
4,4,4.0,6.0,0.0,0.0,0.0,6.0,10.0,-2,-2,-2,-2
5,5,5.0,18.0,0.0,0.0,0.0,2.0,10.0,-2,-2,-2,-2
6,6,6.0,6.0,0.0,0.0,4.0,4.0,10.0,-2,-2,-2,-2
7,7,7.0,4.0,0.0,-2.0,16.0,0.0,10.0,-2,-2,-2,-2
8,0,7.0,18.0,0.0,-2.0,8.0,6.0,10.0,9,[12.88141681  3.07114992  4.14229983],11.282513949853298,11
9,2,7.916079783099616,14.0,0.0,-4.0,12.0,6.0,10.0,8,[13.98907452  0.03277644 -3.92352163],7.95803989154981,10
10,8,8.0,14.0,0.0,-4.0,16.0,6.0,10.0,2,[13.98907452 -0.03277644 -4.07647837],7.95803989154981,9
11,9,9.0,14.0,0.0,0.0,12.0,6.0,10.0,0,[13.22836945  2.31489165  3.85815275],11.282513949853298,8
12,1,9.366600265340756,12.0,0.0,-2.0,4.0,6.0,10.0,-2,-2,-2,-2
13,4,10.557438524302,0.0,0.0,-4.0,12.0,6.0,10.0,-2,-2,-2,-2
14,3,10.681145747868609,4.0,0.0,-2.0,4.0,0.0,10.0,-2,-2,-2,-2
15,6,11.477225575051662,2.0,0.0,-2.0,0.0,0.0,10.0,-2,-2,-2,-2
16,9,14.916079783099615,12.0,0.0,-2.0,0.0,6.0,10.0,-2,-2,-2,-2
17,5,15.344080432788601,14.0,0.0,-2.0,6.0,2.0,10.0,-2,-2,-2,-2
18,0,15.366600265340756,12.0,0.0,0.0,16.0,2.0,10.0,-2,-2,-2,-2
19,7,15.48528137423857,16.0,0.0,-4.0,18.0,2.0,10.0,-2,-2,-2,-2
20,2,15.597225530968224,16.0,0.0,0.0,18.0,0.0,10.0,-2,-2,-2,-2
21,8,15.681145747868609,0.0,0.0,-4.0,2.0,4.0,10.0,-2,-2,-2,-2
22,3,16.68114574786861,18.0,0.0,0.0,6.0,0.0,10.0,-2,-2,-2,-2
23,1,17.17684994124741,6.0,0.0,-4.0,16.0,0.0,10.0,-2,-2,-2,-2
24,6,17.55998810534988,14.0,0.0,-4.0,12.0,4.0,10.0,-2,-2,-2,-2
25,4,20.25279823913466,8.0,0.0,-4.0,0.0,0.0,10.0,2,[4.43094205 0.         2.24585142],23.84963137995906,26
26,2,20.69624504456101,0.0,0.0,-2.0,12.0,0.0,10.0,4,[4.45956172 0.         2.45956172],23.84963137995906,25
27,0,20.843825840392416,18.0,0.0,-2.0,16.0,0.0,10.0,-2,-2,-2,-2
28,5,22.62419032206912,16.0,0.0,0.0,14.0,0.0,10.0,-2,-2,-2,-2
29,7,22.62670980278142,12.0,0.0,-4.0,12.0,6.0,10.0,8,[12.          1.37536486 -0.79081532],24.37245425795062,30
30,8,23.02961497621814,14.0,0.0,-2.0,0.0,4.0,10.0,7,[12.00723049  0.56936272 -0.29191185],24.37245425795062,29
31,9,23.916079783099615,18.0,0.0,0.0,0.0,4.0,10.0,-2,-2,-2,-2
32,3,24.491395423775263,18.0,0.0,0.0,16.0,4.0,10.0,-2,-2,-2,-2
33,6,24.908457333699417,10.0,0.0,-4.0,4.0,0.0,10.0,-2,-2,-2,-2
34,1,25.779175208290038,0.0,0.0,-4.0,6.0,6.0,10.0,-2,-2,-2,-2
35,0,26.926588370690634,10.0,0.0,-2.0,6.0,2.0,10.0,-2,-2,-2,-2
36,5,27.723209835661905,4.0,0.0,-2.0,4.0,6.0,10.0,-2,-2,-2,-2
37,4,28.315055987433208,14.0,0.0,-2.0,18.0,0.0,10.0,-2,-2,-2,-2
38,2,29.181526418799578,2.0,0.0,-2.0,0.0,2.0,10.0,-2,-2,-2,-2
39,3,29.968620998826925,12.0,0.0,-2.0,18.0,6.0,10.0,-2,-2,-2,-2
40,7,30.24248290864533,0.0,0.0,-4.0,0.0,6.0,10.0,-2,-2,-2,-2
41,8,32.46359610827474,2.0,0.0,-2.0,0.0,4.0,10.0,-2,-2,-2,-2
42,6,32.524230439563325,18.0,0.0,0.0,16.0,0.0,10.0,-2,-2,-2,-2
43,0,33.32971260812349,10.0,0.0,0.0,2.0,4.0,10.0,-2,-2,-2,-2
44,1,33.96452798016249,4.0,0.0,-4.0,4.0,0.0,10.0,-2,-2,-2,-2
45,9,34.40416826480113,0.0,0.0,-2.0,0.0,6.0,10.0,-2,-2,-2,-2
46,5,34.43141376816128,4.0,0.0,0.0,12.0,0.0,10.0,-2,-2,-2,-2
47,4,34.63961130776997,12.0,0.0,-2.0,10.0,4.0,10.0,-2,-2,-2,-2
48,2,35.34594042176855,18.0,0.0,-2.0,10.0,6.0,10.0,-2,-2,-2,-2
49,3,37.31709022717646,18.0,0.0,-2.0,6.0,4.0,10.0,7,[11.32818434  2.22393855  4.67181566],42.164051930491915,51
50,6,37.62324995315611,18.0,0.0,0.0,16.0,2.0,10.0,-2,-2,-2,-2
51,7,37.85825601450924,6.0,0.0,-2.0,16.0,4.0,10.0,3,[11.34068254  2.13627301  4.40881904],42.164051930491915,49
