Time,Drone 1,Drone 2,Planned
4.52,6,9,1
4.52,9,6,1
5.94,5,7,1
5.94,7,5,1
15.02,11,13,1
15.02,13,11,1
26.56,13,4,1
26.56,4,13,1
33.3,12,9,1
33.3,9,12,1
42.08,13,12,1
42.08,12,13,1
54.32,11,4,1
54.32,4,11,1
65.43999,7,10,1
65.43999,10,7,1
71.06,7,11,1
71.06,11,7,1
88.58,13,16,1
88.58,16,13,1
98.32,4,16,0.8486721
98.32,16,4,0.8486721
101.8,1,7,1
101.8,7,1,1
107.34,16,10,1
107.34,10,16,1
117.82,2,15,1
117.82,15,2,1
125.32,4,2,1
125.32,2,4,1
135.26,6,9,0.915913
135.26,9,6,0.915913
135.42,6,9,0.9314826
135.42,9,6,0.9314826
137.08,13,10,1
137.08,10,13,1
143.12,7,8,1
143.12,8,7,1
151.98,18,4,1
151.98,4,18,1
162.24,4,7,1
162.24,7,4,1
185.42,8,18,0.9514314
185.42,18,8,0.9514314

