Time,Pos X,Pos Y,Pos Z,Rot X,Rot Y,Rot Z,Rot W
0,10.64511,6.5,-11.17152,0,0,0,1
0.02,10.64511,6.5,-11.17152,0,0,0,1
0.3533334,10.64511,6.5,-11.17152,0,0,0,1
0.3792172,10.64511,6.5,-11.17152,0,0,0,1
0.3965062,10.64511,6.5,-11.17152,0,0,0,1
0.4138615,10.64511,6.5,-11.17152,0,0,0,1
0.4313671,10.64511,6.5,-11.17152,0,0,0,1
0.448033,10.64511,6.5,-11.17152,0,0,0,1
0.4656508,10.64511,6.5,-11.17152,0,0,0,1
0.4827094,10.64511,6.5,-11.17152,0,0,0,1
0.5002983,10.64511,6.5,-11.17152,0,0,0,1
0.5179166,10.64511,6.5,-11.17152,0,0,0,1
0.5347089,10.64511,6.5,-11.17152,0,0,0,1
0.551634,10.64511,6.5,-11.17152,0,0,0,1
0.5692438,10.64511,6.5,-11.17152,0,0,0,1
0.5867633,10.64511,6.5,-11.17152,0,0,0,1
0.604373,10.64511,6.5,-11.17152,0,0,0,1
0.6217751,10.64511,6.5,-11.17152,0,0,0,1
0.6384397,10.64511,6.5,-11.17152,0,0,0,1
0.6560401,10.64511,6.5,-11.17152,0,0,0,1
0.673658,10.64511,6.5,-11.17152,0,0,0,1
0.6906327,10.64511,6.5,-11.17152,0,0,0,1
0.7082522,10.64511,6.5,-11.17152,0,0,0,1
0.7258865,10.64511,6.5,-11.17152,0,0,0,1
0.7433754,10.64511,6.5,-11.17152,0,0,0,1
0.7606512,10.64511,6.5,-11.17152,0,0,0,1
0.7781426,10.64511,6.5,-11.17152,0,0,0,1
0.7951176,10.64511,6.5,-11.17152,0,0,0,1
0.8122689,10.64511,6.5,-11.17152,0,0,0,1
0.8289648,10.64511,6.5,-11.17152,0,0,0,1
0.8459337,10.64511,6.5,-11.17152,0,0,0,1
0.8629922,10.64511,6.5,-11.17152,0,0,0,1
0.8802078,10.64511,6.5,-11.17152,0,0,0,1
0.8978001,10.64511,6.5,-11.17152,0,0,0,1
0.9153877,10.64511,6.5,-11.17152,0,0,0,1
0.9326922,10.64511,6.5,-11.17152,0,0,0,1
0.9493861,10.64511,6.5,-11.17152,0,0,0,1
0.9662206,10.64511,6.5,-11.17152,0,0,0,1
0.9837658,10.64511,6.5,-11.17152,0,0,0,1
1.001376,10.64511,6.5,-11.17152,0,0,0,1
1.018393,10.64511,6.5,-11.17152,0,0,0,1
1.035518,10.64511,6.5,-11.17152,0,0,0,1
1.052821,10.64511,6.5,-11.17152,0,0,0,1
1.070326,10.64511,6.5,-11.17152,0,0,0,1
1.087924,10.64511,6.5,-11.17152,0,0,0,1
1.105532,10.64511,6.5,-11.17152,0,0,0,1
1.123091,10.64511,6.5,-11.17152,0,0,0,1
1.140474,10.64511,6.5,-11.17152,0,0,0,1
1.157885,10.64511,6.5,-11.17152,0,0,0,1
1.175122,10.64511,6.5,-11.19737,0,0,0,1
1.192158,10.64511,6.5,-11.257,0,0,0,1
1.209256,10.64511,6.5,-11.35959,0,0,0,1
1.225931,10.64511,6.5,-11.52633,0,0,0,1
1.242886,10.64511,6.5,-11.85696,0,0,0,1
1.259743,10.64511,6.5,-12.33739,0,0,0,1
1.276685,10.64511,6.5,-12.92189,0,0,0,1
1.293974,10.64511,6.5,-13.87278,0,0,0,1
1.311357,10.64511,6.5,-14.10746,0,0,0,1
1.328101,10.64511,6.5,-14.71022,0,0,0,1
1.345336,10.64511,6.5,-15.33068,0,0,0,1
1.361999,10.64511,6.5,-15.91391,0,0,0,1
1.378678,10.64511,6.5,-16.48931,0,0,0,1
1.39556,10.64511,6.5,-17.04643,0,0,0,1
1.412634,10.64511,6.5,-17.5928,0,0,0,1
1.429662,10.64511,6.5,-18.10362,0,0,0,1
1.446497,10.64511,6.5,-18.59186,0,0,0,1
1.463411,10.64511,6.5,-19.05697,0,0,0,1
1.480429,10.64511,6.5,-19.49094,0,0,0,1
1.497206,10.64511,6.5,-19.8852,0,0,0,1
1.514209,10.64511,6.5,-20.25076,0,0,0,1
1.531104,10.64511,6.5,-20.25076,0,0,0,1
1.548446,10.64511,6.5,-20.25076,0,0,0,1
1.565779,10.64511,6.5,-20.25076,0,0,0,1
1.582783,10.64511,6.5,-20.25076,0,0,0,1
1.599916,10.64511,6.5,-20.25076,0,0,0,1
1.616943,10.64511,6.5,-20.58278,0,0,0,1
1.633701,10.64511,6.5,-20.87604,0,0,0,1
1.651116,10.64511,6.5,-21.15468,0,0,0,1
1.668098,10.64511,6.5,-21.46885,0,0,0,1
1.684885,10.64511,6.5,-21.72905,0,0,0,1
1.701703,10.64511,6.5,-21.97291,0,0,0,1
1.719256,10.64511,6.5,-22.09578,0,0,0,1
1.736224,10.64511,6.5,-22.18062,0,0,0,1
1.753679,10.64511,6.5,-22.2068,0,0,0,1
1.771294,10.64511,6.5,-22.2068,0,0,0,1
1.78817,10.64511,6.5,-22.27431,0,0,0,1
1.80547,10.64511,6.5,-22.33486,0,0,0,1
1.822933,10.64511,6.5,-22.39598,0,0,0,1
1.839602,10.64511,6.5,-22.45432,0,0,0,1
1.856846,10.64511,6.5,-22.51468,0,0,0,1
1.874074,10.64511,6.5,-22.57497,0,0,0,1
1.891055,10.64511,6.5,-22.69384,0,0,0,1
1.908188,10.64511,6.5,-22.74524,0,0,0,1
1.92568,10.64511,6.5,-22.74524,0,0,0,1
1.942525,10.64511,6.5,-22.83789,0,0,0,1
1.959194,10.64511,6.5,-22.83789,0,0,0,1
1.976178,10.64511,6.5,-22.92281,0,0,0,1
1.993086,10.64511,6.5,-22.95663,0,0,0,1
2.010028,10.64511,6.5,-22.99051,0,0,0,1
2.0267,10.64511,6.5,-22.99051,0,0,0,1
2.043832,10.64511,6.5,-23.05047,0,0,0,1
2.060522,10.64511,6.5,-23.07551,0,0,0,1
2.077515,10.64511,6.5,-23.101,0,0,0,1
2.094793,10.64511,6.5,-23.12691,0,0,0,1
2.111841,10.64511,6.5,-23.14396,0,0,0,1
2.128507,10.64511,6.5,-23.16063,0,0,0,1
2.145477,10.64511,6.5,-23.1776,0,0,0,1
2.163058,10.64511,6.5,-23.19518,0,0,0,1
2.179744,10.64511,6.5,-23.20352,0,0,0,1
2.197389,10.64511,6.5,-23.21235,0,0,0,1
2.21445,10.64511,6.5,-23.22088,0,0,0,1
2.232044,10.64511,6.5,-23.22967,0,0,0,1
2.248726,10.64511,6.5,-23.23801,0,0,0,1
2.266199,10.64511,6.5,-23.23801,0,0,0,1
2.283292,10.64511,6.5,-23.23801,0,0,0,1
2.300543,10.64511,6.5,-23.23801,0,0,0,1
2.317956,10.64511,6.5,-23.23801,0,0,0,1
2.334912,10.64511,6.5,-23.23801,0,0,0,1
2.351578,10.64511,6.5,-23.23801,0,0,0,1
2.368903,10.64511,6.5,-23.23801,0,0,0,1
2.385739,10.64511,6.5,-23.23801,0,0,0,1
2.402861,10.64511,6.5,-23.23801,0,0,0,1
2.420341,10.64511,6.5,-23.23801,0,0,0,1
2.437322,10.64511,6.5,-23.23801,0,0,0,1
2.454941,10.64511,6.5,-23.23801,0,0,0,1
2.472149,10.64511,6.5,-23.23801,0,0,0,1
2.489109,10.64511,6.5,-23.23801,0,0,0,1
2.506687,10.64511,6.5,-23.23801,0,0,0,1
2.523925,10.64511,6.5,-23.23801,0,0,0,1
2.54059,10.64511,6.5,-23.23801,0,0,0,1
2.557914,10.64511,6.5,-23.23801,-0.0008726645,0,0,0.9999996
2.574581,10.64511,6.5,-23.23801,-0.002617991,0,0,0.9999966
