eventID,droneID,startTime,startingPositionX,startingPositionY,startingPositionZ,endingPositionX,endingPositionY,endingPositionZ,collidesWithNum,collidesAtPos,collidesAtTime,collidesWithEvent
0,0,0.0,16.0,0.0,-7.0,16.0,0.0,10.0,-2,-2,-2,-2
1,1,0.5,2.0,0.0,-9.0,18.0,6.0,10.0,10,[16.11292752  5.29234782  7.75910143],11.769994999261849,10
2,2,1.0,14.0,0.0,-5.0,2.0,2.0,10.0,-2,-2,-2,-2
3,3,1.5,6.0,0.0,-5.0,10.0,6.0,10.0,-2,-2,-2,-2
4,4,2.0,2.0,0.0,-9.0,14.0,2.0,10.0,-2,-2,-2,-2
5,5,2.5,0.0,0.0,-5.0,10.0,2.0,10.0,-2,-2,-2,-2
6,6,3.0,10.0,0.0,-9.0,8.0,4.0,10.0,-2,-2,-2,-2
7,7,3.5,16.0,0.0,-7.0,18.0,4.0,10.0,-2,-2,-2,-2
8,8,4.0,2.0,0.0,-9.0,10.0,2.0,10.0,-2,-2,-2,-2
9,9,4.5,10.0,0.0,-7.0,12.0,4.0,10.0,-2,-2,-2,-2
10,10,5.0,16.0,0.0,-5.0,16.0,6.0,10.0,1,[16.          5.02862604  7.57156511],11.769994999261849,1
11,11,5.5,12.0,0.0,-9.0,18.0,0.0,10.0,-2,-2,-2,-2
12,12,6.0,8.0,0.0,-9.0,12.0,2.0,10.0,-2,-2,-2,-2
13,13,6.5,8.0,0.0,-5.0,2.0,0.0,10.0,-2,-2,-2,-2
14,14,7.0,18.0,0.0,-9.0,18.0,2.0,10.0,15,[18.          0.16758553 -7.40793746],7.800429265449141,15
15,15,7.5,18.0,0.0,-7.0,6.0,6.0,10.0,14,[17.66705917  0.16647041 -6.52833383],7.800429265449141,14
16,16,8.0,12.0,0.0,-7.0,14.0,2.0,10.0,-2,-2,-2,-2
17,17,8.5,8.0,0.0,-9.0,6.0,4.0,10.0,-2,-2,-2,-2
18,0,8.5,18.0,0.0,-7.0,12.0,2.0,10.0,-2,-2,-2,-2
19,18,9.0,8.0,0.0,-5.0,12.0,0.0,10.0,-2,-2,-2,-2
20,19,9.5,6.0,0.0,-5.0,16.0,4.0,10.0,-2,-2,-2,-2
21,3,9.82165848854662,8.0,0.0,-9.0,8.0,0.0,10.0,-2,-2,-2,-2
22,2,10.656603957913983,6.0,0.0,-5.0,0.0,6.0,10.0,-2,-2,-2,-2
23,5,11.569178573608527,6.0,0.0,-9.0,12.0,6.0,10.0,-2,-2,-2,-2
24,7,12.289197915623474,0.0,0.0,-5.0,16.0,6.0,10.0,-2,-2,-2,-2
25,6,12.759610647971568,14.0,0.0,-7.0,10.0,2.0,10.0,-2,-2,-2,-2
26,10,13.077747210701755,16.0,0.0,-9.0,12.0,2.0,10.0,-2,-2,-2,-2
27,1,13.276932339180638,0.0,0.0,-9.0,6.0,0.0,10.0,9,[ 7.38709963e-03  0.00000000e+00 -8.97660752e+00],13.289197915623474,29
28,4,13.280514172678478,6.0,0.0,-9.0,16.0,0.0,10.0,-2,-2,-2,-2
29,9,13.289197915623474,0.0,0.0,-9.0,4.0,2.0,10.0,1,[ 0.  0. -9.],13.289197915623474,27
30,8,14.35615758860399,10.0,0.0,-9.0,18.0,6.0,10.0,-2,-2,-2,-2
31,13,14.577747210701755,18.0,0.0,-5.0,16.0,6.0,10.0,-2,-2,-2,-2
32,11,15.462429422585638,14.0,0.0,-9.0,4.0,0.0,10.0,-2,-2,-2,-2
33,12,15.759610647971568,6.0,0.0,-9.0,2.0,0.0,10.0,-2,-2,-2,-2
34,14,16.5524865872714,2.0,0.0,-7.0,2.0,6.0,10.0,-2,-2,-2,-2
35,16,16.616843969807043,18.0,0.0,-9.0,8.0,2.0,10.0,-2,-2,-2,-2
36,18,16.762087348130013,16.0,0.0,-7.0,4.0,6.0,10.0,-2,-2,-2,-2
37,0,17.569178573608525,6.0,0.0,-9.0,2.0,0.0,10.0,-2,-2,-2,-2
38,17,18.25961064797157,4.0,0.0,-5.0,8.0,4.0,10.0,-2,-2,-2,-2
39,15,18.328203913853855,8.0,0.0,-9.0,2.0,4.0,10.0,-2,-2,-2,-2
40,19,18.733092656309694,14.0,0.0,-5.0,2.0,6.0,10.0,-2,-2,-2,-2
41,2,19.273447927721026,2.0,0.0,-5.0,4.0,2.0,10.0,-2,-2,-2,-2
42,3,19.321658488546618,16.0,0.0,-7.0,14.0,6.0,10.0,-2,-2,-2,-2
43,6,21.548808563595042,6.0,0.0,-9.0,8.0,0.0,10.0,13,[7.46722058 0.         4.93859551],28.556611020560734,45
44,5,21.97350459695093,12.0,0.0,-9.0,18.0,4.0,10.0,-2,-2,-2,-2
45,13,22.717157508751608,14.0,0.0,-5.0,4.0,0.0,10.0,6,[7.52170798 0.         4.71743803],28.556611020560734,43
46,10,22.83735785867332,0.0,0.0,-7.0,6.0,6.0,10.0,-2,-2,-2,-2
47,9,23.048808563595042,4.0,0.0,-9.0,0.0,2.0,10.0,-2,-2,-2,-2
48,1,23.239361761766276,14.0,0.0,-9.0,0.0,2.0,10.0,-2,-2,-2,-2
49,7,23.658014916525545,16.0,0.0,-9.0,12.0,0.0,10.0,-2,-2,-2,-2
50,4,24.015969449470422,4.0,0.0,-9.0,4.0,2.0,10.0,-2,-2,-2,-2
51,8,25.091612865395934,16.0,0.0,-9.0,12.0,0.0,10.0,-2,-2,-2,-2
52,12,25.467854567445368,18.0,0.0,-5.0,0.0,4.0,10.0,-2,-2,-2,-2
53,14,25.566364775931373,0.0,0.0,-9.0,14.0,6.0,10.0,-2,-2,-2,-2
54,11,26.197884699377582,0.0,0.0,-9.0,4.0,2.0,10.0,-2,-2,-2,-2
55,17,26.27522041891227,10.0,0.0,-7.0,10.0,6.0,10.0,-2,-2,-2,-2
56,2,26.9056166889579,12.0,0.0,-9.0,4.0,2.0,10.0,-2,-2,-2,-2
57,0,27.277422493082327,14.0,0.0,-7.0,10.0,4.0,10.0,-2,-2,-2,-2
58,16,27.398773296230956,8.0,0.0,-7.0,2.0,0.0,10.0,-2,-2,-2,-2
59,18,27.59029126198387,8.0,0.0,-9.0,2.0,2.0,10.0,-2,-2,-2,-2
60,3,28.390837062155143,2.0,0.0,-5.0,8.0,6.0,10.0,-2,-2,-2,-2
61,15,28.48940463030464,6.0,0.0,-9.0,10.0,2.0,10.0,-2,-2,-2,-2
62,19,28.795398555058746,2.0,0.0,-9.0,14.0,0.0,10.0,-2,-2,-2,-2
63,6,31.10129515086644,14.0,0.0,-7.0,18.0,6.0,10.0,13,[14.2728189   0.40922835 -5.84051967],31.73103569741158,64
64,13,31.73103569741158,14.0,0.0,-5.0,2.0,6.0,10.0,6,[14.  0. -5.],31.73103569741158,63
65,5,32.13470531340172,8.0,0.0,-9.0,16.0,6.0,10.0,-2,-2,-2,-2
66,10,32.33735785867332,14.0,0.0,-5.0,0.0,0.0,10.0,-2,-2,-2,-2
67,9,32.80841921156661,4.0,0.0,-5.0,2.0,2.0,10.0,-2,-2,-2,-2
68,7,33.366258835999346,0.0,0.0,-9.0,10.0,0.0,10.0,-2,-2,-2,-2
69,4,33.56845603674182,16.0,0.0,-5.0,14.0,4.0,10.0,-2,-2,-2,-2
70,8,34.79985678486973,16.0,0.0,-9.0,12.0,4.0,10.0,-2,-2,-2,-2
71,1,35.082081044093286,0.0,0.0,-7.0,12.0,0.0,10.0,-2,-2,-2,-2
72,17,35.28909860757224,16.0,0.0,-5.0,14.0,6.0,10.0,-2,-2,-2,-2
73,11,35.95749534734915,16.0,0.0,-5.0,8.0,4.0,10.0,-2,-2,-2,-2
74,0,36.23565892666679,4.0,0.0,-9.0,14.0,2.0,10.0,-2,-2,-2,-2
75,16,36.41265148489093,0.0,0.0,-9.0,0.0,0.0,10.0,-2,-2,-2,-2
76,3,37.007681031962186,0.0,0.0,-5.0,8.0,0.0,10.0,-2,-2,-2,-2
77,2,37.26177427756189,18.0,0.0,-5.0,16.0,4.0,10.0,-2,-2,-2,-2
78,12,37.35271889145008,10.0,0.0,-9.0,18.0,2.0,10.0,-2,-2,-2,-2
79,18,37.60278345923427,14.0,0.0,-9.0,12.0,6.0,10.0,-2,-2,-2,-2
80,14,37.74216043781729,10.0,0.0,-7.0,12.0,6.0,10.0,-2,-2,-2,-2
81,15,38.24901527827621,4.0,0.0,-5.0,2.0,4.0,10.0,-2,-2,-2,-2
82,19,40.03150108218086,16.0,0.0,-5.0,4.0,4.0,10.0,-2,-2,-2,-2
83,6,40.334387807176135,18.0,0.0,-9.0,10.0,0.0,10.0,-2,-2,-2,-2
84,9,40.440587972803485,14.0,0.0,-7.0,4.0,4.0,10.0,-2,-2,-2,-2
85,4,41.39469395799109,12.0,0.0,-9.0,0.0,2.0,10.0,-2,-2,-2,-2
86,13,41.79334159616064,6.0,0.0,-7.0,6.0,6.0,10.0,-2,-2,-2,-2
87,10,42.59650012301492,4.0,0.0,-7.0,8.0,0.0,10.0,-2,-2,-2,-2
88,5,42.87016059019366,6.0,0.0,-9.0,18.0,4.0,10.0,-2,-2,-2,-2
89,17,43.428508905622095,4.0,0.0,-9.0,8.0,4.0,10.0,7,[ 4.27166968  0.27166968 -7.709569  ],44.10171411279129,90
90,7,44.10171411279129,4.0,0.0,-7.0,0.0,4.0,10.0,17,[ 4.  0. -7.],44.10171411279129,89
91,11,44.68961994563564,10.0,0.0,-9.0,10.0,2.0,10.0,-2,-2,-2,-2
92,8,44.711970585669235,0.0,0.0,-7.0,10.0,0.0,10.0,-2,-2,-2,-2
93,2,45.08801219881116,8.0,0.0,-9.0,4.0,2.0,10.0,-2,-2,-2,-2
94,1,45.48640706743569,14.0,0.0,-7.0,6.0,6.0,10.0,-2,-2,-2,-2
95,3,45.507681031962186,10.0,0.0,-9.0,4.0,4.0,10.0,-2,-2,-2,-2
96,16,45.91265148489093,0.0,0.0,-9.0,10.0,4.0,10.0,-2,-2,-2,-2
97,15,46.07525319952548,0.0,0.0,-5.0,4.0,0.0,10.0,-2,-2,-2,-2
98,14,46.811339011425815,0.0,0.0,-5.0,10.0,0.0,10.0,-2,-2,-2,-2
99,0,47.0175882530907,18.0,0.0,-7.0,0.0,4.0,10.0,-2,-2,-2,-2
100,18,47.61527565648466,8.0,0.0,-7.0,2.0,0.0,10.0,-2,-2,-2,-2
101,12,47.70887648005407,0.0,0.0,-5.0,2.0,0.0,10.0,-2,-2,-2,-2
102,19,49.84220951735515,16.0,0.0,-5.0,16.0,0.0,10.0,-2,-2,-2,-2
103,9,50.50289387155254,8.0,0.0,-7.0,12.0,4.0,10.0,-2,-2,-2,-2
104,6,50.642151871220285,6.0,0.0,-5.0,18.0,0.0,10.0,-2,-2,-2,-2
105,13,50.80721978482061,10.0,0.0,-7.0,18.0,2.0,10.0,-2,-2,-2,-2
106,10,51.32862472130141,0.0,0.0,-7.0,12.0,6.0,10.0,-2,-2,-2,-2
107,4,52.67520813066957,0.0,0.0,-5.0,10.0,4.0,10.0,-2,-2,-2,-2
108,7,53.05995054637575,12.0,0.0,-7.0,16.0,6.0,10.0,-2,-2,-2,-2
109,17,53.3406227064216,0.0,0.0,-7.0,2.0,6.0,10.0,-2,-2,-2,-2
